year,month,month_start,total_mm,normal_mm,p10_mm,p90_mm,is_current_year,days_covered,is_complete
2020,1,2020-01-01,38.71,72.22,30.3,136.1,False,31,True
2020,2,2020-02-01,17.23,57.78,11.25,114.36,False,29,True
2020,3,2020-03-01,16.95,40.32,20.42,53.87,False,31,True
2020,4,2020-04-01,41.47,59.82,22.74,120.19,False,30,True
2020,5,2020-05-01,248.85,178.37,98.33,241.41,False,31,True
2020,6,2020-06-01,209.07,280.22,235.6,326.41,False,30,True
2020,7,2020-07-01,319.02,418.88,339.98,492.16,False,31,True
2020,8,2020-08-01,300.63,303.37,231.93,384.23,False,31,True
2020,9,2020-09-01,198.87,350.34,276.95,409.61,False,30,True
2020,10,2020-10-01,470.21,326.13,223.54,447.57,False,31,True
2020,11,2020-11-01,397.94,168.95,73.38,318.18,False,30,True
2020,12,2020-12-01,243.87,145.38,88.37,237.26,False,31,True
2021,1,2021-01-01,147.9,72.22,30.3,136.1,False,31,True
2021,2,2021-02-01,112.5,57.78,11.25,114.36,False,28,True
2021,3,2021-03-01,46.95,40.32,20.42,53.87,False,31,True
2021,4,2021-04-01,31.62,59.82,22.74,120.19,False,30,True
2021,5,2021-05-01,58.41,178.37,98.33,241.41,False,31,True
2021,6,2021-06-01,288.57,280.22,235.6,326.41,False,30,True
2021,7,2021-07-01,433.44,418.88,339.98,492.16,False,31,True
2021,8,2021-08-01,263.66,303.37,231.93,384.23,False,31,True
2021,9,2021-09-01,357.23,350.34,276.95,409.61,False,30,True
2021,10,2021-10-01,242.1,326.13,223.54,447.57,False,31,True
2021,11,2021-11-01,91.35,168.95,73.38,318.18,False,30,True
2021,12,2021-12-01,90.37,145.38,88.37,237.26,False,31,True
2022,1,2022-01-01,35.72,72.22,30.3,136.1,False,31,True
2022,2,2022-02-01,46.86,57.78,11.25,114.36,False,28,True
2022,3,2022-03-01,59.98,40.32,20.42,53.87,False,31,True
2022,4,2022-04-01,110.39,59.82,22.74,120.19,False,30,True
2022,5,2022-05-01,223.79,178.37,98.33,241.41,False,31,True
2022,6,2022-06-01,262.13,280.22,235.6,326.41,False,30,True
2022,7,2022-07-01,360.95,418.88,339.98,492.16,False,31,True
2022,8,2022-08-01,464.05,303.37,231.93,384.23,False,31,True
2022,9,2022-09-01,405.07,350.34,276.95,409.61,False,30,True
2022,10,2022-10-01,424.93,326.13,223.54,447.57,False,31,True
2022,11,2022-11-01,139.26,168.95,73.38,318.18,False,30,True
2022,12,2022-12-01,87.48,145.38,88.37,237.26,False,31,True
2023,1,2023-01-01,124.31,72.22,30.3,136.1,False,31,True
2023,2,2023-02-01,48.58,57.78,11.25,114.36,False,28,True
2023,3,2023-03-01,23.88,40.32,20.42,53.87,False,31,True
2023,4,2023-04-01,129.98,59.82,22.74,120.19,False,30,True
2023,5,2023-05-01,166.98,178.37,98.33,241.41,False,31,True
2023,6,2023-06-01,291.4,280.22,235.6,326.41,False,30,True
2023,7,2023-07-01,415.54,418.88,339.98,492.16,False,31,True
2023,8,2023-08-01,200.19,303.37,231.93,384.23,False,31,True
2023,9,2023-09-01,355.04,350.34,276.95,409.61,False,30,True
2023,10,2023-10-01,204.98,326.13,223.54,447.57,False,31,True
2023,11,2023-11-01,60.22,168.95,73.38,318.18,False,30,True
2023,12,2023-12-01,89.26,145.38,88.37,237.26,False,31,True
2024,1,2024-01-01,24.87,72.22,30.3,136.1,False,31,True
2024,2,2024-02-01,5.28,57.78,11.25,114.36,False,29,True
2024,3,2024-03-01,46.38,40.32,20.42,53.87,False,31,True
2024,4,2024-04-01,14.28,59.82,22.74,120.19,False,30,True
2024,5,2024-05-01,233.98,178.37,98.33,241.41,False,31,True
2024,6,2024-06-01,268.71,280.22,235.6,326.41,False,30,True
2024,7,2024-07-01,470.48,418.88,339.98,492.16,False,31,True
2024,8,2024-08-01,287.28,303.37,231.93,384.23,False,31,True
2024,9,2024-09-01,414.14,350.34,276.95,409.61,False,30,True
2024,10,2024-10-01,346.55,326.13,223.54,447.57,False,31,True
2024,11,2024-11-01,86.54,168.95,73.38,318.18,False,30,True
2024,12,2024-12-01,230.65,145.38,88.37,237.26,False,31,True
2025,1,2025-01-01,61.81,72.22,30.3,136.1,False,31,True
2025,2,2025-02-01,116.22,57.78,11.25,114.36,False,28,True
2025,3,2025-03-01,47.75,40.32,20.42,53.87,False,31,True
2025,4,2025-04-01,31.2,59.82,22.74,120.19,False,30,True
2025,5,2025-05-01,138.25,178.37,98.33,241.41,False,31,True
2025,6,2025-06-01,361.43,280.22,235.6,326.41,False,30,True
2025,7,2025-07-01,513.85,418.88,339.98,492.16,False,31,True
2025,8,2025-08-01,304.41,303.37,231.93,384.23,False,31,True
2025,9,2025-09-01,371.71,350.34,276.95,409.61,False,30,True
2025,10,2025-10-01,268.03,326.13,223.54,447.57,False,31,True
2025,11,2025-11-01,238.42,168.95,73.38,318.18,False,30,True
2025,12,2025-12-01,130.66,145.38,88.37,237.26,False,31,True
2026,1,2026-01-01,65.49,72.22,30.3,136.1,True,31,True
2026,2,2026-02-01,58.3,57.78,11.25,114.36,True,28,True
2026,3,2026-03-01,20.16,40.32,20.42,53.87,True,31,True
2026,4,2026-04-01,9.83,59.82,22.74,120.19,True,30,True
2026,5,2026-05-01,82.73,178.37,98.33,241.41,True,31,True
2026,6,2026-06-01,193.36,280.22,235.6,326.41,True,30,True
2026,7,2026-07-01,285.29,418.88,339.98,492.16,True,31,True
2026,8,2026-08-01,601.02,303.37,231.93,384.23,True,31,True
2026,9,2026-09-01,34.75,350.34,276.95,409.61,True,3,False
